,timestamp,intraday,day_ahead
132,2019-09-30 18:00,69.0,58.0
133,2019-09-30 18:30,22.12,60.8
134,2019-09-30 19:00,55.0,54.0
135,2019-09-30 19:30,22.8,50.0
136,2019-09-30 20:00,22.5,50.0
137,2019-09-30 20:30,22.1,39.9
138,2019-09-30 21:00,55.0,39.2
139,2019-09-30 21:30,55.0,35.0
140,2019-09-30 22:00,55.0,38.0
141,2019-09-30 22:30,54.0,22.6
142,2019-09-30 23:00,54.9,27.1
143,2019-09-30 23:30,54.9,30.0
